,BTC,ETH,ADA,LTC,XRP,DOGE,DOT,SOL,UNI,LUNA
17/04/21,59927,2313.6,1.3694,300.65,1.5395,42.049,24.8,34.686,15.234,13.653
18/04/21,56172,2237.1,1.274,273.78,1.4076,37.373,32.167,31.699,13.369,13.653
19/04/21,56372,2160,1.23,261.13,1.3108,35.61,31.553,31.028,15.978,13.653
20/04/21,56471.15171,2185.8,1.2682,260.74,1.3867,34.112,30.865,31.954,13.596,13.653
21/04/21,53780,2356.7,1.2034,257.51,1.29,33.792,32.637,33.447,13.266,13.653
22/04/21,51735.13723,2399.3,1.146,253.01,1.1563,0.26063,32.988,39.06,34.007,13.653
23/04/21,49426,2367.9,1.1186,236.03,1.1715,0.24964,30.804,37.355,33.008,13.513
24/04/21,50161,2218.6,1.1062,225.38,1.0516,0.27109,29.077,41.238,30.203,15.591
25/04/21,49129,2322.8,1.092,223.65,1.0359,0.2517,29.819,47.69,34.317,17.755
26/04/21,54102,2537,1.2376,247.81,1.365,0.27179,33.467,43.959,38.227,17.636
27/04/21,55044,2665.7,1.3107,259.67,1.4029,0.2722,34.801,43.285,39.536,17.723
28/04/21,54859,2748.5,1.3374,258.7,1.3574,0.32316,34.001,45.149,42.856,16.8
29/04/21,53566,2758.6,1.307,255.31,1.3977,0.305,35.963,42.423,41.073,16.267
30/04/21,57630,2769.4,1.351,270.94,1.5984,0.3381,36.502,42.789,40.644,16.676
1/05/21,57774,2943.8,1.3559,276.6,1.6518,0.39127,36.916,49.46,40.3,16.55
2/05/21,56605,2949.7,1.3263,269.04,1.5611,0.3726,36.67,46.882,42.55,17.134
3/05/21,57147,3427.3,1.3611,294.29,1.554,0.44079,37.246,45.88,42.253,17.218
4/05/21,53251,3240.5,1.2754,305.65,1.407,0.5393,34.863,42.798,43.158,16.296
5/05/21,57487,3524.7,1.4794,356.38,1.6138,0.65341,40.474,44.952,42.45,17.034
6/05/21,56450,3491.4,1.6475,354.49,1.6042,0.58184,41.605,43.466,40.224,16.796
7/05/21,57349,3481.485416,1.6545,344.76,1.5793,0.69,39.935,43.2,39.783,16.579
8/05/21,58084,3911.7,1.6255,347.24,1.561,0.70928,40.02,43.758,40.006,16.83
9/05/21,58276,3926,1.7674,388.42,1.5349,0.568,40.351,44.343,39.519,16.986
10/05/21,55829.6251,3945.50406,1.6458,359.05,1.3907,0.45007,36.51,42.898,36.433,15.853
11/05/21,56721.5046,4172.7,1.7636,377.75,1.4797,0.45996,38.664,42.195,36.283,15.645
12/05/21,49614,3833.305152,1.5643,311.07,1.2704,0.39154,35.115,43.49,37.002,14.535
13/05/21,50768,3722.8,1.9337,309.4,1.366,0.48974,40.046,40.485,36.616,15.739
14/05/21,49924,4082.3,2.01,326.62,1.4025,0.56074,48.067,42.772,40.457,16.44
15/05/21,46844,3651.9,2.1791,300.74,1.4962,0.50908,43.653,43.435,36.648,15.257
16/05/21,46597,3593.5,2.3098,297.01,1.4529,0.51492,42.571,47.057,36.681,16.246
17/05/21,45302.98699,3277.666157,2.03,280.91,1.4943,0.48698,38.668,46.68,33.138,14.958
18/05/21,42900,3378.6,2.0096,294.14,1.591,0.47674,40.622,55.901,35.059,15.688
19/05/21,36733,2441.6,1.4664,186.44,1.0606,0.32962,25.066,35.177,23.239,11.022
20/05/21,39924.4179,2773.9,1.8028,210.99,1.1823,0.39868,28.986,44.451,26.418,10.972
21/05/21,37391.38484,2439.8,1.5935,180.81,1.0095,0.35954,24.48,38.876,21.995,8.8725
22/05/21,37557,2302.1,1.4683,169.75,0.90722,0.34291,22.138,31.288,20.386,6.5921
23/05/21,34747,2097.6,1.315,142.61,0.791,0.30675,17.955,24.554,16.712,4.0905
24/05/21,38845,2647.7,1.5479,185.46,0.99386,0.36523,23.257,31.353,24.683,6.6493
25/05/21,38396.84797,2707.9,1.5548,184.2,0.97613,0.34684,22.211,30.069,25.125,6.6561
26/05/21,39301,2888.9,1.7818,199.13,1.0334,0.35316,24.555,35.465,29.446,7.3457
27/05/21,38537,2740.9,1.6539,194.28,0.97484,0.33395,23.951,33.727,28.513,6.7039
28/05/21,38537,2740.9,1.6539,194.28,0.97484,0.33395,23.951,33.727,28.513,6.7039
29/05/21,38537,2740.9,1.6539,194.28,0.97484,0.33395,23.951,33.727,28.513,6.7039
30/05/21,35614,2382.9,1.5706,170.63,0.90524,0.30158,20.427,28.513,25.714,6.1982
31/05/21,37280,2705.397853,1.7414,188.2,1.0417,0.32582,23.408,32.703,28.294,6.5462
1/06/21,36673,2632.8,1.7348,182.88,1.01,0.37036,22.805,31.003,27.41,6.2972
2/06/21,37577,2706,1.754,187.15,1.024,0.42355,26.014,33.994,27.62,6.8522
3/06/21,39226,2855.7,1.8432,193.24,1.0449,0.401,26.98,39.469,28.573,7.6733
4/06/21,36844,2692,1.7076,178.55,0.96991,0.37675,25.006,37.463,26.372,6.3913
5/06/21,36844,2692,1.66,173.07,0.92273,0.37141,23.763,39.683,25.595,6.0451
6/06/21,35780,2710.1,1.6761,176.24,0.94612,0.37144,24.164,42.254,25.84,6.243
7/06/21,33572,2591.357671,1.5639,161.92,0.86268,0.33185,21.696,38.312,24.185,5.5946
8/06/21,33572,2591.357671,1.5639,161.92,0.86268,0.33185,21.696,38.312,24.185,5.5946
9/06/21,37368,2609.162152,1.6238,172.46,0.92097,0.34332,23.138,41.978,25.044,6.0016
10/06/21,37368,2609.162152,1.6238,172.46,0.92097,0.34332,23.138,41.978,25.044,6.0016
11/06/21,37368,2609.162152,1.6238,172.46,0.92097,0.34332,23.138,41.978,25.044,6.0016
12/06/21,37368,2609.162152,1.6238,172.46,0.92097,0.34332,23.138,41.978,25.044,6.0016
13/06/21,37368,2609.162152,1.6238,172.46,0.92097,0.34332,23.138,41.978,25.044,6.0016
14/06/21,39836,2562.354436,1.555,174.52,0.90131,0.32804,22.89,39.33,23.823,6.067
15/06/21,40137,2541.6,1.558,175.55,0.86604,0.32013,23.955,39.582,23.44,6.5851
16/06/21,38346,2366.7,1.4823,166.59,0.83121,0.30775,23.019,39.613,21.815,6.165
17/06/21,38073,2372,1.4812,166.81,0.84087,0.3059,22.488,39.241,22.188,6.154
18/06/21,35845,2234.5,1.4145,156.33,0.79619,0.29331,21.373,36.733,20.368,5.9531
19/06/21,35570,2169.1,1.3904,152.79,0.76,0.28603,20.263,35.336,19.814,5.7448
