,BTC,ETH,ADA,LTC,XRP,DOGE,DOT,SOL,UNI,LUNA
17/04/21,0,0,0,0,0,0,0,0,0,0
18/04/21,-0.062659569,-0.033065353,-0.069665547,-0.089373025,-0.085677168,-0.111203596,0.297056452,-0.086115436,-0.122423526,0
19/04/21,0.003560493,-0.034464262,-0.034536892,-0.046204982,-0.068769537,-0.047173093,-0.019087885,-0.02116786,0.195152966,0
20/04/21,0.001758882,0.011944444,0.031056911,-0.001493509,0.05790357,-0.042066835,-0.021804583,0.029844012,-0.149079985,0
21/04/21,-0.047655336,0.078186476,-0.051096042,-0.012387819,-0.069733901,-0.009380863,0.057411307,0.046723415,-0.024271845,0
22/04/21,-0.038022737,0.018076123,-0.047698188,-0.01747505,-0.103643411,-0.992287228,0.010754665,0.167817742,1.563470526,0
23/04/21,-0.044633828,-0.01308715,-0.02390925,-0.067111972,0.013145377,-0.042167057,-0.066205893,-0.043650794,-0.029376305,-0.010254157
24/04/21,0.014870716,-0.063051649,-0.011085285,-0.045121383,-0.102347418,0.08592373,-0.056064148,0.103948601,-0.084979399,0.153777844
25/04/21,-0.020573753,0.046966555,-0.012836738,-0.007675925,-0.014929631,-0.071526061,0.025518451,0.156457636,0.136211635,0.138798025
26/04/21,0.10122331,0.092216291,0.133333333,0.108025933,0.317694758,0.079817243,0.122338107,-0.078234431,0.113937699,-0.006702337
27/04/21,0.017411556,0.050729208,0.059065934,0.047859247,0.027765568,0.001508518,0.039860161,-0.015332469,0.034242813,0.004933091
28/04/21,-0.003360948,0.03106126,0.020370794,-0.00373551,-0.032432818,0.187215283,-0.022987845,0.043063417,0.0839741,-0.052079219
29/04/21,-0.023569515,0.003674732,-0.022730671,-0.013103981,0.029689112,-0.056195074,0.057704185,-0.06037786,-0.041604443,-0.03172619
30/04/21,0.075869021,0.003915029,0.033664881,0.061219694,0.143593046,0.10852459,0.014987626,0.008627396,-0.010444818,0.025142927
1/05/21,0.002498699,0.062973929,0.003626943,0.020890234,0.033408408,0.157261165,0.011341844,0.155904555,-0.008463734,-0.007555769
2/05/21,-0.020234015,0.002004212,-0.021830518,-0.027331887,-0.054909795,-0.047716411,-0.006663777,-0.052122928,0.055831266,0.035287009
