date,s378,s379,s380,s381,s433,s434,s593,s594
1/4/2016 7:00:00,0,0,0,0,0,0,0,0
1/11/2016 7:00:00,0,-0.002876936,0,0,0.00566951,0,0,0
1/18/2016 7:00:00,-0.014025802,-0.002837286,-0.007018301,-0.010931226,-0.000909435,-0.096221074,0,0
1/25/2016 7:00:00,-0.000156189,-0.003281997,0.000586319,-0.013125768,0,0.005373461,0,0
2/1/2016 7:00:00,0,0.000900731,-0.002001491,0.00412313,0,-0.017741686,0,0
2/8/2016 7:00:00,0,-0.001880916,-0.00050169,-0.007943219,0,-0.006853725,0.00015837,0
2/15/2016 7:00:00,0.00533955,0.004284143,0.002706914,0.017128209,0.024856446,0.006386913,0.008666854,0
2/22/2016 7:00:00,0.010621833,0.00092846,0.005032409,0.007776288,0.073696611,-0.00012377,0.003178754,0
2/29/2016 7:00:00,-0.000898441,-0.00075945,-0.000792958,-0.006065262,-0.007681619,-0.012897066,0.002898312,0
3/7/2016 7:00:00,-0.005890031,-0.00077601,-0.003241312,-0.00348241,-0.040829409,-0.003647955,-0.005644475,0
3/14/2016 8:00:00,-0.000102687,-0.001364282,0.000454838,0.0009146,-0.000716868,0.002553454,0.00085653,0
3/21/2016 8:00:00,-0.001924968,-0.000867636,-0.00241039,-0.003528398,-0.010212881,-0.008253351,0.000195263,0.01323954
3/28/2016 8:00:00,-0.000169656,0.000324746,0.000492868,0.001878725,0.007052368,0.007554263,-0.000622591,-0.004454085
4/4/2016 8:00:00,-0.000934421,-0.002841069,-0.002089306,-0.018810402,-0.009706934,-0.010033803,0.001378409,0.006088907
4/11/2016 8:00:00,0.000486439,-0.004037196,-0.005594198,0.000731977,-0.002218725,-0.06968836,0.000719923,0.030716268
4/18/2016 8:00:00,-0.00016257,0.001511525,0.001162824,0.013875117,0.008552439,0.00754525,0.002301288,-0.017387282
4/25/2016 8:00:00,0.00987051,-0.000252951,0.00194964,-0.00091485,0.004399184,-0.025731404,0.006668144,0.014887552
5/2/2016 8:00:00,-0.003492707,0.007764238,0.005742634,0.0108004,0.044218168,0.155334715,-0.004033143,-0.026248648
5/9/2016 8:00:00,0.001605639,0.001530833,0.001593302,0.006266772,-0.000694532,0.014941062,-0.000172555,-0.001733117
5/16/2016 8:00:00,0.002673726,0.009645082,0.003594785,0.051588486,0,0.025022074,0.000274061,-0.030198781
5/23/2016 8:00:00,-0.000845243,-0.001091975,0.00401724,-0.012702929,-0.005183383,0.114072649,-0.001938496,-0.006077134
5/30/2016 8:00:00,-0.001324688,0.010891313,0.007068644,0.049671843,0.000844854,1.20E-06,0.018846556,-0.011420977
6/6/2016 8:00:00,0.007226,0.002595,0.006922213,0.014173823,0.008492159,0.09192193,0.008549718,-0.003578984
6/13/2016 8:00:00,0.019182791,0.023685627,0.013015068,0.126247016,-0.00011037,-0.001501181,0.01828477,-0.028426963
6/20/2016 8:00:00,-0.005347148,-0.021201848,-0.006851154,-0.112903312,0.005518004,-0.055543149,-0.002538803,0.028644273
6/27/2016 8:00:00,-0.015345731,0.000958819,-0.00420776,0.001939265,-0.101279459,-0.015767942,-0.003633647,0.007698913
7/4/2016 8:00:00,-0.005552129,-0.00671775,-0.002077265,-0.011620903,-0.123525088,-0.002336776,0.003023364,0.012356389
7/11/2016 8:00:00,-0.001780692,0.004204355,-0.006042463,0.005076726,-0.083931011,0,-0.00034449,-0.000177645
7/18/2016 8:00:00,0.001153741,0.001747944,0.002490341,0.009984102,0.026647964,0.004927128,0.000973134,-0.010828243
7/25/2016 8:00:00,-0.001807931,-0.001179061,0.003853866,-0.000710548,-0.002060631,-0.004535474,-0.004066913,-0.002076774
8/1/2016 8:00:00,-0.0016078,-0.008936007,-0.008102944,-0.049639309,-0.0062965,-0.143939046,-0.007232117,0.005208233
8/8/2016 8:00:00,0.0014812,-0.004920656,0.002600326,-0.057424729,0.014831634,-0.010114053,-0.003607345,-0.020835991
8/15/2016 8:00:00,-7.69E-05,-0.005457834,-0.009822931,-0.023701113,-0.00330041,-0.015364246,-0.004894484,0.010782709
8/22/2016 8:00:00,-0.000203879,-0.001375119,-0.0006725,-0.003595831,0.000282543,0.032934992,0.001367139,-0.000312835
8/29/2016 8:00:00,0.001434163,0.001802107,-0.005663075,0.003604368,0.017811891,-0.004754872,-0.000923963,-0.003103331
9/5/2016 8:00:00,-0.000389034,0.001664319,0.006685688,0.001045177,0.057732385,0.00633427,0.005996438,-0.004399259
9/12/2016 8:00:00,-0.002203602,-0.003099599,-0.002988514,-0.023025513,0.000398301,0.003233466,-0.000426462,-0.002845447
