date,s594_BTC_RR,s594_BTC_ER,s594_ETH_RR,s594_ETH_ER,s594_LTC_RR,s594_LTC_ER,s594_ETC_RR,s594_ETC_ER,s594_ZEC_RR,s594_ZEC_ER,s594_EOS_RR,s594_EOS_ER,s594_OMG_RR,s594_OMG_ER,s594_NEO_RR,s594_NEO_ER,s594_BTG_RR,s594_BTG_ER,s594_SNT_RR,s594_SNT_ER,s594_BAT_RR,s594_BAT_ER,s594_FUN_RR,s594_FUN_ER,s594_ZRX_RR,s594_ZRX_ER,s594_TRX_RR,s594_TRX_ER,s594_DAI_RR,s594_DAI_ER,s594_ANT_RR,s594_ANT_ER,s594_XVG_RR,s594_XVG_ER,s594_MKR_RR,s594_MKR_ER,s594_KNC_RR,s594_KNC_ER,s594_XTZ_RR,s594_XTZ_ER,s594_DGB_RR,s594_DGB_ER,s593_BTC_RR,s593_BTC_ER,s593_ETH_RR,s593_ETH_ER,s593_LTC_RR,s593_LTC_ER,s593_ETC_RR,s593_ETC_ER,s593_ZEC_RR,s593_ZEC_ER,s593_EOS_RR,s593_EOS_ER,s593_OMG_RR,s593_OMG_ER,s593_NEO_RR,s593_NEO_ER,s593_BTG_RR,s593_BTG_ER,s593_SNT_RR,s593_SNT_ER,s593_BAT_RR,s593_BAT_ER,s593_FUN_RR,s593_FUN_ER,s593_ZRX_RR,s593_ZRX_ER,s593_TRX_RR,s593_TRX_ER,s593_DAI_RR,s593_DAI_ER,s593_ANT_RR,s593_ANT_ER,s593_XVG_RR,s593_XVG_ER,s593_MKR_RR,s593_MKR_ER,s593_KNC_RR,s593_KNC_ER,s593_XTZ_RR,s593_XTZ_ER,s593_DGB_RR,s593_DGB_ER,s593_PAX_RR,s593_PAX_ER,s434_BTC_RR,s434_BTC_ER,s434_ETH_RR,s434_ETH_ER,s434_LTC_RR,s434_LTC_ER,s433_BTC_RR,s433_BTC_ER,s433_ETH_RR,s433_ETH_ER,s433_LTC_RR,s433_LTC_ER,s381_BTC_RR,s381_BTC_ER,s381_ETH_RR,s381_ETH_ER,s381_LTC_RR,s381_LTC_ER,s381_ETC_RR,s381_ETC_ER,s381_XMR_RR,s381_XMR_ER,s381_ZEC_RR,s381_ZEC_ER,s378_BTC_RR,s378_BTC_ER,s378_ETH_RR,s378_ETH_ER,s378_LTC_RR,s378_LTC_ER,s378_XMR_RR,s378_XMR_ER,s378_ZEC_RR,s378_ZEC_ER
2016-01-04 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,-0.4788293,4000,0.2873593,4000,-0.32809156,4000,0,4000,-0.50330115,4000,0.49669885,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0
2016-01-11 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0.31817534,4000,0.23755299,4000,0.58269187,4000,0,4000,-0.60197138,4019.01967,-0.39802862,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0.41003966,4000,0,4000,0.58996034,4000,0,4000,0
2016-01-18 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3839.69586,0.43218545,4000,0.37189465,3699.84622,0.31192203,4000,0,4000,0.31080602,4019.01967,-0.68919398,4000,0.1,4000,0,4000,0.1,4000,0,4000,0,4000,0,3977.04583,0,4000,0,3966.23357,0,4000,0,4000,0
2016-01-25 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3851.5066,0.3651709,4000,0.50987124,3714.96487,-0.25494906,4000,0,4000,0.12045347,4019.01967,-0.87954653,3982.08024,0.1,4000,0,3972.06104,0.1,4000,0,4000,0,4000,0,3977.04583,0,4000,0,3966.23357,0,4000,0,4000,0
2016-02-01 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3784.33214,0.04272096,4000,0.34152699,3714.96487,0.93512117,4000,0,4000,0.01006193,4019.01967,-0.98993807,3949.56405,0.05,4000,0,3951.79028,0.25,4000,0,4000,0,4000,0,3977.04583,0,4000,0,3966.23357,0,4000,0,4000,0
2016-02-08 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4000.228,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3783.56271,0.11589955,4000,-0.04714397,3670.67406,-0.87836615,4000,0,4000,-0.18288959,4019.01967,0.81711041,3955.15555,0.1,4000,0,3961.77357,0.1,4000,0,4000,0,4000,0,3977.04583,0.43740284,4000,0,3966.23357,0.56259716,4000,0,4000,0
2016-02-15 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4034.71721,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3814.10924,-0.19658208,4000,0.58129194,3670.67406,-0.53050323,4000,0,4000,-0.1989882,4107.13965,0.8010118,3942.351,0.1,4000,0,3945.27874,0.1,4000,0,4000,0,4000,0,3990.71988,0.42993187,4000,0,3973.77541,0.57006813,4000,0,4000,0
2016-02-22 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4047.49491,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3814.10924,0.27108214,4000,-0.07192062,3670.67406,0.70791061,4000,0.95947575,4000,-0.02925553,4405.10697,0.01126871,3986.76928,0.2,4000,0,3968.29576,0.2,4000,0,4000,0,4000,0,4007.92588,0.61112873,4000,0,3998.84817,0.38887127,4000,0,4000,0
2016-02-29 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4059.37797,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3809.164,-0.09043404,4000,0.71514668,3610.52604,-0.68252417,3981.64138,0.72051881,4000,-0.22910664,4403.95743,-0.05037455,3991.41711,0.2,4000,0,3992.99437,0.2,4000,0,4000,0,4000,0,4007.15524,0.47372503,4000,0,3996.02016,0.52627497,4000,0,4000,0
2016-03-07 7:00:00PM,4000,0,4000,-1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,1,4000,0,4000,0,4000,0,4000,0,4036.55822,1,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,4000,0,3809.164,0.10474897,4000,0.73585407,3610.52604,0.60344279,3820.51726,-0.78498029,4000,-0.17796544,4403.95743,-0.03705426,3981.66334,0.1,4000,0,3978.41586,0.1,4000,0,4000,0,4000,0,3995.45354,0,4000,0,3983.7446,0,4000,0,4000,0
