date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
1/01/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,DOGE,WAVES,XLM
8/01/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,DOGE,WAVES,XLM
15/01/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,WAVES,DOGE,ZEC
22/01/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,WAVES,DOGE,XLM
29/01/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,WAVES,DOGE,ZEC
5/02/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,WAVES,ZEC,DOGE
12/02/17,BTC,ETH,XRP,LTC,XMR,ETC,DASH,WAVES,ZEC,DOGE
19/02/17,BTC,ETH,XRP,LTC,XMR,DASH,ETC,WAVES,ZEC,DOGE
26/02/17,BTC,ETH,XRP,DASH,LTC,XMR,ETC,WAVES,ZEC,DOGE
5/03/17,BTC,ETH,DASH,XRP,XMR,LTC,ETC,ZEC,WAVES,DOGE
12/03/17,BTC,ETH,DASH,XMR,XRP,LTC,ETC,ZEC,DOGE,WAVES
19/03/17,BTC,ETH,DASH,XMR,XRP,LTC,ETC,ZEC,DOGE,WAVES
26/03/17,BTC,ETH,DASH,XRP,XMR,ETC,LTC,ZEC,DOGE,WAVES
2/04/17,BTC,ETH,XRP,DASH,LTC,XMR,ETC,ZEC,DOGE,WAVES
9/04/17,BTC,ETH,XRP,DASH,LTC,XMR,ETC,ZEC,DOGE,WAVES
16/04/17,BTC,ETH,XRP,DASH,LTC,XMR,ETC,ZEC,DOGE,WAVES
23/04/17,BTC,ETH,XRP,LTC,DASH,ETC,REM,XMR,DOGE,WAVES
30/04/17,BTC,ETH,XRP,LTC,DASH,ETC,REM,XMR,DOGE,WAVES
7/05/17,BTC,ETH,XRP,LTC,ZEC,DASH,ETC,XMR,XLM,DOGE
14/05/17,BTC,XRP,ETH,LTC,ZEC,DASH,ETC,XMR,XLM,DOGE
21/05/17,BTC,ETH,XRP,ZEC,LTC,ETC,DASH,DOGE,XLM,XMR
28/05/17,BTC,ETH,XRP,ZEC,ETC,LTC,DASH,XMR,DOGE,WAVES
4/06/17,BTC,ETH,XRP,ZEC,ETC,LTC,DASH,STRAT,XMR,WAVES
11/06/17,BTC,ETH,XRP,ETC,ZEC,LTC,DASH,DOGE,XMR,WAVES
18/06/17,BTC,ETH,XRP,LTC,ETC,ZEC,DASH,MIOTA,DOGE,WAVES
25/06/17,BTC,ETH,XRP,LTC,ETC,ZEC,XLM,DASH,DOGE,WAVES
2/07/17,BTC,ETH,XRP,LTC,ETC,ZEC,DASH,NEO,XMR,DOGE
9/07/17,BTC,ETH,XRP,LTC,ETC,DASH,ZEC,WAVES,XMR,EOS
16/07/17,BTC,ETH,XRP,LTC,ETC,DASH,EOS,NEO,XMR,ZEC
23/07/17,BTC,ETH,XRP,LTC,NEO,ETC,DASH,NEO,XMR,EOS
30/07/17,BTC,ETH,XRP,LTC,NEO,ETC,DASH,NEO,XMR,EOS
6/08/17,BTC,ETH,XRP,LTC,WAVES,ETC,DASH,EOS,NEO,XMR
13/08/17,BTC,ETH,XRP,LTC,NEO,ZEC,WAVES,DASH,ETC,XMR
20/08/17,BTC,ETH,XRP,XMR,ZEC,LTC,DASH,NEO,ETC,OMG
27/08/17,BTC,ETH,XRP,LTC,DASH,OMG,ZEC,NEO,XMR,ETC
3/09/17,BTC,ETH,XRP,LTC,ZEC,DASH,OMG,XMR,ETC,NEO
10/09/17,BTC,ETH,XRP,LTC,DASH,ZEC,XMR,OMG,ETC,NEO
17/09/17,BTC,ETH,XRP,LTC,DASH,ZEC,XMR,ETC,NEO,OMG
24/09/17,BTC,ETH,XRP,LTC,DASH,ZEC,OMG,XMR,ETC,NEO
1/10/17,BTC,ETH,XRP,LTC,DASH,ZEC,NEO,OMG,XMR,ETC
8/10/17,BTC,ETH,XRP,LTC,DASH,ZEC,NEO,OMG,XMR,ETC
15/10/17,BTC,ETH,XRP,LTC,DASH,ZEC,XMR,NEO,OMG,ETC
22/10/17,BTC,ETH,XRP,LTC,DASH,ZEC,NEO,XMR,OMG,ETC
29/10/17,BTC,ETH,XRP,LTC,DASH,ZEC,NEO,XMR,OMG,ETC
5/11/17,BTC,ETH,XRP,LTC,DASH,NEO,ZEC,XMR,ETC,OMG
12/11/17,BTC,ETH,XRP,DASH,LTC,XMR,NEO,OMG,ZEC,ETC
19/11/17,BTC,ETH,XRP,LTC,DASH,NEO,OMG,XMR,ZEC,ETC
26/11/17,BTC,ETH,XRP,DASH,LTC,XMR,NEO,OMG,ETC,ZEC
3/12/17,BTC,ETH,XRP,DASH,LTC,OMG,ADA,XMR,ETC,ZEC
10/12/17,BTC,ETH,NEO,XRP,LTC,DASH,XMR,WAVES,ADA,ETC
17/12/17,BTC,ETH,XRP,LTC,ADA,EOS,DASH,NEO,XMR,XLM
24/12/17,BTC,ETH,XRP,LTC,ADA,XLM,NEO,DASH,XMR,EOS
31/12/17,BTC,XRP,ETH,ADA,LTC,EOS,NEO,DASH,XLM,XMR
7/01/18,BTC,XRP,ETH,ADA,EOS,LTC,TRX,XLM,NEO,DASH
14/01/18,BTC,ETH,XRP,ADA,LTC,ZEC,XLM,NEO,XMR,EOS
21/01/18,BTC,ETH,XRP,ADA,LTC,XMR,NEO,EOS,XLM,DASH
28/01/18,BTC,ETH,XRP,ADA,XLM,LTC,NEO,EOS,DASH,XMR
4/02/18,BTC,ETH,XRP,ADA,LTC,NEO,XLM,EOS,DASH,XMR
11/02/18,BTC,ETH,XRP,ADA,LTC,XLM,NEO,EOS,DASH,XMR
18/02/18,BTC,ETH,XRP,LTC,ADA,XLM,NEO,EOS,XMR,DASH
25/02/18,BTC,ETH,XRP,LTC,ADA,NEO,XLM,EOS,XMR,DASH
4/03/18,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS
11/03/18,BTC,ETH,XRP,LTC,NEO,ADA,XLM,XMR,EOS,DASH
18/03/18,BTC,ETH,XRP,LTC,NEO,XLM,ADA,EOS,DASH,XMR
25/03/18,BTC,ETH,XRP,LTC,EOS,ADA,XLM,NEO,DASH,XMR
1/04/18,BTC,ETH,XRP,LTC,EOS,ADA,XLM,NEO,XMR,DASH
8/04/18,BTC,ETH,XRP,LTC,EOS,ADA,XLM,NEO,DASH,XMR
15/04/18,BTC,ETH,XRP,LTC,EOS,ADA,XLM,DASH,NEO,XMR
22/04/18,BTC,ETH,XRP,EOS,LTC,ADA,XLM,DASH,NEO,XMR
29/04/18,BTC,ETH,XRP,EOS,ADA,LTC,XLM,NEO,TRX,DASH
6/05/18,BTC,ETH,XRP,EOS,LTC,ADA,XLM,DASH,TRX,NEO
13/05/18,BTC,ETH,XRP,EOS,LTC,ADA,XLM,DASH,TRX,NEO
20/05/18,BTC,ETH,XRP,EOS,LTC,ADA,XLM,TRX,DASH,NEO
27/05/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,TRX,DASH,NEO
3/06/18,BTC,ETH,XRP,EOS,LTC,ADA,XLM,DASH,TRX,NEO
10/06/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,DASH,TRX,NEO
17/06/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,DASH,TRX,NEO
24/06/18,BTC,ETH,XRP,EOS,LETC,XLM,ADA,TRX,DASH,NEO
1/07/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,DASH,TRX,XMR
8/07/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,DASH,NEO,TRX
15/07/18,BTC,ETH,XRP,EOS,LTC,XLM,ADA,DASH,TRX,NEO
22/07/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,DASH,TRX,NEO
29/07/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,DASH,TRX,XMR
5/08/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,DASH,TRX,XMR
12/08/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,DASH,TRX
19/08/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,DASH,TRX
26/08/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,DASH,XMR,TRX
2/09/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,DASH,XMR,DASH
9/09/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,DASH,NEO
16/09/18,BTC,ETH,XRP,EOS,XLM,LTC,XMR,ADA,NEO,DASH
23/09/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,DASH,NEO
30/09/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,NEO,DASH
7/10/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,TRX,NEO
14/10/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,TRX,NEO
21/10/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,TRX,NEO
28/10/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,TRX,NEO
4/11/18,BTC,ETH,XRP,EOS,XLM,LTC,ADA,XMR,TRX,NEO
11/11/18,BTC,ETH,XRP,XLM,EOS,LTC,ADA,XMR,TRX,NEO
18/11/18,BTC,XRP,ETH,XLM,EOS,LTC,ADA,XMR,TRX,NEO
25/11/18,BTC,XRP,ETH,XLM,EOS,LTC,ADA,XMR,TRX,NEO
2/12/18,BTC,XRP,ETH,XLM,EOS,LTC,ADA,TRX,XMR,NEO
9/12/18,BTC,XRP,ETH,XLM,EOS,LTC,TRX,ADA,XMR,NEO
16/12/18,BTC,XRP,ETH,XLM,EOS,LTC,TRX,ADA,XMR,NEO
23/12/18,BTC,XRP,ETH,EOS,XLM,LTC,TRX,ADA,NEO,XMR
30/12/18,BTC,XRP,ETH,EOS,XLM,LTC,TRX,ADA,NEO,XMR
6/01/19,BTC,ETH,XRP,EOS,LTC,XLM,TRX,ADA,NEO,XMR
13/01/19,BTC,XRP,ETH,EOS,XLM,LTC,TRX,ADA,NEO,XMR
